,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Dividends Paid,Investments,Issuance Of Stock,Other Cashflows From Financing Activities,Change To Operating Activities,Effect Of Exchange Rate,Repurchase Of Stock
APG1L.VS,-8259000.0,-4829000.0,-10478000.0,-10478000.0,10896000.0,3534000.0,18841000.0,19726000.0,135000.0,-182000.0,-2477000.0,-935000.0,-7703000.0,,,,,,,
ARC1T.TL,0.0,-8000.0,1203000.0,2388000.0,2071000.0,-337000.0,-2717000.0,64000.0,1000.0,,,-4852000.0,-9000.0,-480000.0,,2250000.0,-585000.0,,,
AUG1L.VS,4386000.0,-5887000.0,-5138000.0,-5138000.0,-15427000.0,-95000.0,10930000.0,14303000.0,380000.0,-8051000.0,2616000.0,13103000.0,-7015000.0,,-2000.0,,,,,
BLT1T.TL,-581000.0,-369000.0,-1600000.0,-1874000.0,-2900000.0,-813000.0,1430000.0,3601000.0,,976000.0,-379000.0,713000.0,-228000.0,,,,-274000.0,,,
CPA1T.TL,0.0,-4521000.0,9290000.0,350337000.0,13463000.0,76847000.0,-268965000.0,3539000.0,,,,2855000.0,-5574000.0,,-2642000.0,486000.0,340561000.0,-289250000.0,-4000.0,
DGR1R.RG,-64256.0,-74121.0,-2451236.0,1248543.0,4223833.0,-2132092.0,-3306514.0,1061030.0,,-415483.0,,2047519.0,-548605.0,-3211138.0,,8085782.0,-662865.0,-10236384.0,,
EEG1T.TL,1464000.0,1044000.0,-950000.0,-4424000.0,2243000.0,4693000.0,8073000.0,3410000.0,7157000.0,-33000.0,-1599000.0,1836000.0,-2786000.0,,-306000.0,,,,,-446000.0
EGR1T.TL,-2062000.0,-74680000.0,-40584000.0,27150000.0,79661000.0,69680000.0,117210000.0,38078000.0,68000.0,1556000.0,-712000.0,-1363000.0,-74844000.0,-27100000.0,,100000000.0,-5166000.0,1984000.0,,
GRG1L.VS,11340000.0,-14373000.0,-5118000.0,-12844000.0,12266000.0,-5832000.0,21385000.0,9928000.0,,-5280000.0,-7213000.0,237000.0,-12438000.0,-7726000.0,,,,-38000.0,,
HAE1T.TL,9308000.0,-7021000.0,7197000.0,5287000.0,2598000.0,-2269000.0,-488000.0,3924000.0,317000.0,-8814000.0,-7443000.0,-155000.0,-4857000.0,-2838000.0,-768000.0,946000.0,-18000.0,,-47000.0,
