,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2
APG1L.VS,14311,Consumer Cyclical,2156,"APB Apranga, together with its subsidiaries, engages in the retail trade of apparel in the Baltic States. It operates a chain of 179 stores in Lithuania, Latvia, and Estonia, as well as online stores. The company was founded in 1945 and is based in Vilnius, Lithuania. APB Apranga operates as a subsidiary of MG Baltic Investment.",Vilnius,370 5 239 0808,Lithuania,[],https://aprangagroup.lt,1,Ukmerges g. 362,370 5 239 0800,Apparel Retail,0.1113,0.06973,0.44831002,22504000,0.342,0.0825,25354000,,none,82230000,19832376,,1.95,0.407,1.424,0.07707,,,117.007,0.27128,,12727000,61638000,227806000,0.23,EUR,3.901,0.377,,LIT,Apranga,APB Apranga,Europe/Vilnius,EET,False,7200000,,EQUITY,APG1L.VS,,,finmb_9236437,fd0d45ba-3c37-3919-b40e-8b260b6032b9,vs_market,,0.665,,5.975,,,0.14,,55292000,,,,1.103,,,,1640908800,0.6327,15886000,0.071,,,1.7679057,0.15593,1703980800,,1656547200,,,13344162,0.886996,151477584,4,,1134345600,4:1,,,0.718,0.47329482,,,,13.928572,,,,,,1.95,1.95,1.9551,0.06666666,1.7241,,1.955,,18755,1.95,1.8507,0.13,1.95,18755,,,0.5,1652227200,,,1.95,EUR,27.464788,12917,,,,107819400,,,19835,1.95,1.95,0,12917,2.58,,,1.64,1.945,False,0.26950002,0,1.955,1.95,,https://logo.clearbit.com/aprangagroup.lt,,
ARC1T.TL,10111,Real Estate,18,"Arco Vara AS, together with its subsidiaries, engages in the real estate development and services related to real estate primarily in Estonia and Bulgaria. It is involved in the development, construction, and sale of residential and non-residential buildings; and rental and operation of own or leased real estate properties. The company also offers real estate brokerage and valuation services. Arco Vara AS was founded in 1992 and is headquartered in Tallinn, Estonia. As of May 06, 2021, Arco Vara AS operates as a subsidiary of OÜ Alarmo Kapital.",Tallinn,372 6 144 630,Estonia,[],https://www.arcovara.com,1,Rotermanni 10,,Real Estate—Development,0.11252,0.08989,0.2353,-5226000,4.075,0.10261,999000,,none,3029000,-1085875,,1.768,0.573,2.498,0.01918,,,51.083,0.04632,,2549000,9342000,8878000,0.245,EUR,0.88,0.448,,TAL,Arco Vara,Arco Vara AS,Europe/Tallinn,EET,False,7200000,,EQUITY,ARC1T.TL,,,finmb_21956128,91597962-96af-3738-ba00-4ea79290e17b,tl_market,,2.846,,25.289,,,,,10388400,,,,1.78,,,,1640908800,0.0627,798000,0.289,,,0.9932585,0.71783996,1703980800,,1656547200,,,885816,0.649767,25263516,4,,,,,,0.786,2.068787,,,,,,,,,,1.768,1.768,1.934815,0.03393665,0.7143,,1.768,,1425,1.768,1.76948,0.06,1.768,1425,,,0.04,1670371200,,,1.76,EUR,6.117647,828,,,,18366692,,,1897,1.76,1.768,0,828,2.99,,1.68,1.65,1.764,False,0.0225,0,1.768,1.768,,https://logo.clearbit.com/arcovara.com,,2th floor
AUG1L.VS,08130,Consumer Defensive,1205,"Auga Group AB, together with its subsidiaries, operates as an organic food production company in Lithuania. The company operates through four segments: Crop-Growing, Mushroom Growing, Dairy, and Fast-Moving Consumer Goods. It is involved in mushroom growing; organic milk production, and cattle raising and sale activities; and growing of various crops such as organic wheat, legumes, rapeseed, sugar beets, oat, and barley as well as other crops, including grasses and corn for feed. The company offers ready-to-eat soups, preserved mushrooms, packaged vegetables, bottled milk, milk-shakes, eggs, poultry, flour, and other products. It also provides human resource management, trade and logistics, IT system development, machinery leasing, land rental, and agricultural services. The company manages approximately 39,100 hectares of organically certified arable land. It also exports its products to Scandinavian and Baltic countries, the United States, Germany, Japan, Netherlands, and the United Kingdom. The company was incorporated in 2003 and is headquartered in Vilnius, Lithuania. Auga Group AB is a subsidiary of Baltic Champs Group, UAB.",Vilnius,370 5 233 5340,Lithuania,[],https://www.auga.lt,1,Konstitucijos av. 21C,,Farm Products,0.03286,-0.1727,0.12368,8264000,0.204,-0.0762,2385000,0.7,none,6724000,9407250,0.7,0.401,,1.652,-0.01526,1,0.7,127.892,-0.14178,0.7,4455000,106053000,72588000,0.02,EUR,0.315,0.419,,LIT,AUGA group,Auga Group AB,Europe/Vilnius,EET,False,7200000,,EQUITY,AUG1L.VS,,,finmb_257213151,ddccb24a-2d99-3545-bc04-591db71e6fda,vs_market,,2.639,,80.318,,,,,227416000,,,,0.407,,,,1640908800,0.11598,-12722000,0.008,,,0.985258,0.66251,1703980800,,1656547200,,,74840414,,191559008,4,,,,,,29.438,1.2563208,,,,,,,,,,0.4005,0.4,0.4481565,,0,,0.4015,,30278,0.4005,0.39914,,0.4,30278,,,,,,,0.397,EUR,50.124996,8938,,,,91193816,,,22246,0.397,0.401,0,8938,0.5447,,,0.378,0.401,False,,0,0.4015,0.401,,https://logo.clearbit.com/auga.lt,,Quadrum North
BLT1T.TL,11415,Consumer Cyclical,157,"AS Baltika, together with its subsidiaries, operates as a fashion retailer. It operates through Retail, E-commerce, and All Other segments. The company engages in the design, development, production, and sales arrangement of the fashion brands of clothing; and the provision of materials and sewing services. It develops and operates fashion under the Ivo Nikkolo brand name. The company sells its products through retail and e-commerce channel, and other sales channels, including wholesale, franchise, and consignation clients. As of December 31, 2021, it had 34 Baltika's retail-stores in Estonia, Latvia, and Lithuania. AS Baltika was founded in 1928 and is headquartered in Tallinn, Estonia.",Tallinn,372 6 302 700,Estonia,[],https://www.baltikagroup.com,1,Valukoja 10,372 6 302 814,Apparel Retail,-0.24394,-0.33558,0.52053,733000,-0.281,-0.28102,-2638000,,none,6120000,1053625,,0.156,,0.579,-0.16490999,,,,,,406000,10013000,10814000,0.008,EUR,0.2,0.107,,TAL,Baltika,AS Baltika,Europe/Tallinn,EET,False,7200000,,EQUITY,BLT1T.TL,,,finmb_8353387,7d209732-b0a4-3ffe-9fad-8b796a077d33,tl_market,,1.651,,-6.768,,,,,54079500,,,,0.02,,,,1640908800,0.0,-3629000,0.01,,,7.8,0.038510002,1703980800,,1656547200,,,52300811,1.644349,17854122,4,,1556582400,1:10,,,,0.78013706,,,,,,,,,,0.156,0.16,0.1985475,,0,,0.16,,2174,0.156,0.15452,,0.16,2174,,,,1180483200,,,0.156,EUR,15.6,3039,,,,8436402,,,2521,0.156,0.16,0,3039,0.29,,,0.1355,0.156,False,,0,0.16,0.156,,https://logo.clearbit.com/baltikagroup.com,,
CPA1T.TL,15014,Financial Services,300,"Coop Pank AS, together with its subsidiaries, provides banking and financing solutions to private and business clients in Estonia. It operates through Corporate Banking, Retail Banking, Consumer Financing, Leasing, and Other segments. The company offers banking plans; saving accounts and deposits; energy, small, car, home renovation, travel, home, refinancing, mortgage, working capital, investment, seasonal work, and apartment association loans; and payment, overdraft, guarantee, settlement, factoring, and leasing services, as well as debit and credit cards. It also provides Internet and mobile banking services; real estate management services; traffic, motor, comprehensive, travel, and home insurance products; and small and medium business property, construction machinery, and other equipment insurance services. The company was formerly known as AS Eesti Krediidipank. Coop Pank AS was incorporated in 1992 and is based in Tallinn, the Republic of Estonia.",Tallinn,372 66 90966,Estonia,[],https://www.cooppank.ee,1,Maakri 30,372 66 16037,Banks—Regional,0.0,0.38179,0.0,,0.301,0.42176998,,,none,37145000,,,2.296,,,0.01283,,,,0.14818,,287158016,43211000,44868000,3.147,EUR,0.408,,,TAL,Coop Pank,Coop Pank AS,Europe/Tallinn,EET,False,7200000,,EQUITY,CPA1T.TL,,,finmb_20480537,f24e9a17-6fa1-337d-b191-c0cc09a1fa76,tl_market,,-0.934,,,,,,,90623904,,,,1.108,,,,1640908800,0.00022,17130000,0.09,,,2.0722022,0.33635,1703980800,,1664496000,,,39122482,0.583388,-41910300,4,,,,,,0.336,4.637436,,,,,,,,,,2.26,2.3,2.448355,,0.1579,,2.3,,48508,2.26,2.27944,,2.3,48508,,,0.03,1651017600,,,2.26,EUR,25.51111,31987,,,,208072480,,,30302,2.26,2.296,,31987,3.1,,,2.17,2.286,False,0.0136,,2.3,2.296,,https://logo.clearbit.com/cooppank.ee,,
DGR1R.RG,1013,Financial Services,300,"DelfinGroup AS, together with its subsidiaries, operates as a technology-based financial services company under the Banknote and VIZIA brands in Latvia. It offers consumer and pawn loans, and buy now pay later loans, as well as loans developed for senior citizens. The company also sells pawn shop items; and provides debt collection services and loan cessions to external debt collection companies. As of April 13, 2022, it had 90 branches. DelfinGroup AS also offers its products through online. The company was formerly known as SIA ExpressCredit and changed its name to DelfinGroup AS in February 2020. The company was incorporated in 2009 and is based in Riga, Latvia. DelfinGroup AS operates as a subsidiary of SIA Express Holdings.",Riga,371 66 15 55 55,Latvia,[],https://www.delfingroup.lv,1,50A Skanstes Street,,Credit Services,0.0,0.21440001,0.82045,-15080924,0.281,0.26715,,,none,17681568,,,1.46,0.301,3.283,0.10186,,,271.906,0.43302,,2314369,43573428,24371652,0.051,EUR,0.558,3.139,,RIS,DelfinGroup,DelfinGroup AS,Europe/Riga,EET,False,7200000,,EQUITY,DGR1R.RG,,,finmb_250803573,b2479736-c42c-321e-84d5-b7c85545eb5e,rg_market,,4.382,,,,,,,40000000,,,,2.313,,,,1640908800,0.0,5225186,0.974,,,0.6312149,0.88308996,1703980800,,1656547200,,,5320974,,106791192,4,,,,,,0.475,2.3962266,,,,,,,,,,1.46,1.46,1.43513,,0.2394,,1.46,,4668,1.46,1.46052,,1.46,4668,,,0.07,1664323200,,,1.452,EUR,1.4989734,3524,,,,58400000,,,5668,1.452,1.46,,3524,1.526,,,1.2,1.454,False,0.047399998,,1.46,1.46,,https://logo.clearbit.com/delfingroup.lv,,
EEG1T.TL,10151,Communication Services,1400,"AS Ekspress Grupp provides digital content and advertising solutions. Its services comprise online news and classified portals management; selling advertising banners, and other advertising space and products through its own portals; and selling advertising space in newspapers and magazines; and publishing newspapers, magazines, customer and advertising fliers, and books, as well as sale of digital outdoor advertising. The company also operates electronic ticket sales platform and ticket sales sites, as well as production studio for content creation; and sells video production, media, and infrastructure solutions. It has operations in the Estonia, Scandinavia, Lithuania, Latvia, rest of Europe, and internationally. The company was founded in 1989 and is based in Tallinn, Estonia.",Tallinn,372 6 698 381,Estonia,[],https://www.egrupp.ee,1,Parda 6,,Advertising Agencies,0.09661999,0.03428,0.23838,8650000,0.233,0.07042,5705000,1.8,hold,13295000,7920000,1.8,1.495,0.022,0.901,0.02777,1,1.8,43.149,0.078379996,1.8,6793000,22477000,59044000,0.224,EUR,1.949,0.877,3,TAL,Ekspress Grupp,AS Ekspress Grupp,Europe/Tallinn,EET,False,7200000,,EQUITY,EEG1T.TL,,,finmb_22950044,4331bcdb-d85d-3817-97ab-3a4714316f77,tl_market,,1.028,,10.637,,,,,30282900,,,,2.038,,,,1640908800,0.07596,4204000,0.105,,,0.7335623,0.73410004,1703980800,,1656547200,,,7698850,0.64938,60683204,4,,,,,,0.021,0.7667661,,,,,,,,,,1.495,1.495,1.620725,0.04682274,1.4634,,1.495,,1843,1.495,1.4847,0.07,1.495,1843,,,0.08,1652400000,,,1.495,EUR,14.238095,1419,,,,45272936,,,1553,1.495,1.5,0,1419,1.9,,,1.355,1.495,False,0.0541,0,1.495,1.495,,https://logo.clearbit.com/egrupp.ee,,
EGR1T.TL,11318,Utilities,220,"Enefit Green AS operates renewable energy production units in Estonia, Latvia, Lithuania, and Poland. It operates through Wind Energy, Cogeneration, Solar energy, and Other segments. The company produces renewable energy and heat from wind, sun, biomass, mixed municipal waste, wood chips, pellets, natural gas, and water. It has an installed capacity of 457 megawatts. The company was founded in 2016 and is based in Tallinn, Estonia. Enefit Green AS is a subsidiary of Eesti Energia AS.",Tallinn,372 58 654 999,Estonia,[],https://enefitgreen.ee,1,Lelle 22,,Utilities—Renewable,0.69143,0.48703998,0.74584997,141684000,0.305,0.51732,151160992,4.9,strong_buy,130382000,26576900,4.95,4.26,-0.969,2.667,0.08799,2,4.95,23.844,0.18587999,5,90857000,155424000,218620992,0.344,EUR,1.01,2.335,1.5,TAL,Enefit Green,Enefit Green AS,Europe/Tallinn,EET,False,7200000,,EQUITY,EGR1T.TL,,,finmb_410153826,b173ff6d-7392-3f44-bbe2-2a07bb178225,tl_market,,5.368,,7.763,,,,,264276000,,,,2.173,,,,1640908800,0.03266,106478000,2.424,,,1.9604234,0.77472997,1703980800,,1656547200,,,59528221,,1173470080,4,,,,,,0.797,5.1496234,,,,,,,,,,4.22,4.232,4.067025,1.3412323,0.1466,,4.278,,91399,4.22,4.17852,5.66,4.232,91399,,,0.15,1653955200,,,4.232,EUR,1.7574258,85126,,,,1125815808,,,81497,4.232,4.262,,85126,4.932,,,3.334,4.26,False,0.036,,4.278,4.26,,https://logo.clearbit.com/enefitgreen.ee,,
GRG1L.VS,27101,Basic Materials,864,"Grigeo AB produces and sells hygiene, and cleanliness paper in Lithuania It operates through three segments: Paper and Paper Products; Wood Fibre Boards and Wood Products; and Raw Material for Corrugated Cardboard and Related Products. The comany offers toilet papers, paper towels, paper napkins, tissues, sanitary coverings, dispensers, liquid soap, and soap foam. It is also involved in the manufacture of raw materials for the production of corrugated cardboards; honeycomb cardboard paper and filler for use in the furniture, automotive, packaging, and construction industries, as well as for the manufacture of doors, wall panels, exhibition stands, and trays; and second-hand paper collection and preparation for recycling. In addition, the company engages in the investment management; building construction and real estate development activities; and production and sale of heat energy through steam, thermal, and other sources. The company also exports its products. Grigeo AB was formerly known as Grigeo Grigikes AB and changed its name to Grigeo AB in April 2017. The company was founded in 1823 and is based in Vilnius, Lithuania.",Vilnius,370 5 243 5801,Lithuania,[],https://www.grigeo.lt,1,Vilnious Street 10,370 5 243 5802,Paper & Paper Products,0.11975,0.06574,0.16725,17611000,0.344,0.072859995,22910000,,none,32918000,-498125,,0.738,0.367,1.685,0.06653,,,12.395,0.1381,,12160000,11798000,191322000,0.093,EUR,1.456,1.156,,LIT,Grigeo,Grigeo AB,Europe/Vilnius,EET,False,7200000,,EQUITY,GRG1L.VS,,,finmb_9182846,ac949024-f7c8-3440-a15f-b8c9f85b274d,vs_market,,0.501,,4.183,,,,,131400000,,,,1.353,,,,1640908800,0.02199,12577000,0.202,,,0.5454545,0.59344,1703980800,,1656547200,,,45986058,0.490325,95822400,4,,,,,,0.379,0.5068586,,,,,,,,,,0.742,0.74,0.78568,0.16172507,0.5263,,0.74,,6661,0.742,0.71316,0.12,0.74,6661,,,0.05,1652313600,,,0.738,EUR,3.653465,636,,,,96973200,,,17042,0.738,0.74,0,636,0.946,,,0.628,0.738,False,0.0689,0,0.74,0.738,,https://logo.clearbit.com/grigeo.lt,,Grigiskes
HAE1T.TL,76606,Industrials,865,"AS Harju Elekter develops, produces, and sells electric and automation solutions in Estonia, Finland, Sweden, Lithuania, and internationally. It operates through three segments: Production, Real estate, Other Activities. The company designs, manufactures, sales, and after-sales services of electricity distribution, switching, and conversion equipment and automation, process control, and industrial control equipment; electrical equipment for the electricity distribution, industrial, and construction sectors; sheet metal products and solutions for the electrical engineering and telecom sectors; multidrive, MCC, and electricity distribution systems for engineering and contract manufacturing; industrial automation devices and substations; and electricity switching and transformation equipment, as well as automatic and control centers. It also offers medium and low voltage power generation and distribution solutions for infrastructure, construction, and renewable energy sectors; prefabricated technical houses; and electrical installation services for shipbuilding. In addition, the company provides industrial property development, maintenance and leasing, and intermediation services; management services; financial investment management; and project management services for installation works. Further, it operates stores in Tallinn and Tartu, which sell products for electrical installation work to retail customers, and small and medium sized electrical installation companies; and sells electrical materials and equipment. The company serves electricity distribution network, infrastructure, industrial, utility, and maritime companies. AS Harju Elekter was founded in 1968 and is headquartered in Keila, Estonia.",Keila,372 6 747 400,Estonia,[],https://www.harjuelekter.com,1,Paldiski mnt 31,,Electrical Equipment & Parts,0.01022,-0.01265,0.08559,,0.093,-0.009649999,1726000,,none,17880000,,,5.64,0.6,1.214,-0.00678,,,42.61,-0.026730001,,504000,34889000,168876992,0.027,EUR,9.666,0.525,,TAL,Harju Elekter,AS Harju Elekter,Europe/Tallinn,EET,False,7200000,,EQUITY,HAE1T.TL,,,finmb_7689753,fc246c37-8c48-3a1a-aece-aca660a8a602,tl_market,,0.819,,80.141,,,,,18018600,,,,4.189,,,,1640908800,0.0,-2136000,0.29,,,1.3463833,0.39066002,1703980800,,1664496000,,,11364156,0.868421,138322752,2,,1115164800,3:1,,,0.632,0.6017688,,,,,,,,,,5.64,5.63,5.91915,0.028368795,,,5.65,,1402,5.64,5.4758,0.16,5.63,1402,,,0.14,1652659200,,,5.62,EUR,19.448277,939,,,,101624904,,,3142,5.62,5.64,0,939,7.74,,,4.85,5.62,False,0.0257,0,5.65,5.64,,https://logo.clearbit.com/harjuelekter.com,,
