,Company,Ticker,IND.,SECT.,Home Market,LP,under_obs
0,Apranga,APG1L.VS,CON,RET,VLN,1,0
1,Arco Vara,ARC1T.TL,REA,REA,TLN,0,0
2,AUGA group,AUG1L.VS,CON,FOO,VLN,1,0
3,Baltika,BLT1T.TL,CON,CON,TLN,0,1
4,Coop Pank,CPA1T.TL,FIN,BAN,TLN,0,0
5,DelfinGroup,DGR1R.RG,FIN,FIN,RIG,1,0
6,Ekspress Grupp,EEG1T.TL,CON,MED,TLN,0,0
7,EfTEN Real Estate Fund III,EFT1T.TL,FIN,FIN,TLN,1,0
8,Enefit Green,EGR1T.TL,UTI,UTI,TLN,0,0
9,Grigeo,GRG1L.VS,BAS,BAS,VLN,1,0
10,Harju Elekter,HAE1T.TL,IND,IND,TLN,0,0
11,HansaMatrix,HMX1R.RG,TEC,TEC,RIG,1,0
12,Hepsor,HPR1T.TL,REA,REA,TLN,0,0
14,Ignitis grupė,IGN1L.VS,UTI,UTI,VLN,1,0
15,Klaipėdos nafta,KNF1L.VS,IND,IND,VLN,0,0
16,LHV Group,LHV1T.TL,FIN,BAN,TLN,0,0
17,Linas Agro Group,LNA1L.VS,CON,FOO,VLN,1,0
18,Merko Ehitus,MRK1T.TL,IND,CON,TLN,1,0
19,Nordecon,NCN1T.TL,IND,CON,TLN,0,0
20,Novaturas,NTU1L.VS,CON,TRA,VLN,1,0
21,Pro Kapital Grupp,PKG1T.TL,REA,REA,TLN,1,0
22,PRFoods,PRF1T.TL,CON,FOO,TLN,0,0
23,Panevėžio statybos trestas,PTR1L.VS,IND,CON,VLN,0,0
24,Pieno žvaigždės,PZV1L.VS,CON,FOO,VLN,0,0
25,Rokiškio sūris,RSU1L.VS,CON,FOO,VLN,0,0
26,Šiaulių bankas,SAB1L.VS,FIN,BAN,VLN,1,0
27,SAF Tehnika,SAF1R.RG,TEL,TEL,RIG,1,0
28,Silvano Fashion GroupLP,SFG1T.TL,CON,CON,TLN,1,1
29,Tallink Grupp,TAL1T.TL,CON,TRA,TLN,1,0
30,Telia Lietuva,TEL1L.VS,TEL,TEL,VLN,1,0
31,Tallinna Kaubamaja Grupp,TKM1T.TL,CON,RET,TLN,1,0
32,Tallinna Sadam,TSM1T.TL,IND,IND,TLN,1,0
33,Tallinna Vesi,TVE1T.TL,UTI,UTI,TLN,1,0
34,Vilkyškių pieninė,VLP1L.VS,CON,FOO,VLN,1,0
